date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:58	319936/319936	---M--	200	added ('OK')	application/octet-stream	etag:%22663b57e8-4e1c0%22	https://templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.ttf	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.ttf	(from https://templates.hibootstrap.com/jeel/default/assets/css/boxicons.min.css)
15:09:59	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:40:02%20GMT	https://templates.hibootstrap.com/jeel/default/assets/css/owl.video.play.png	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/owl.video.play.png	(from https://templates.hibootstrap.com/jeel/default/assets/css/owl.carousel.min.css)
15:10:00	1240624/1240624	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22663b57e8-12ee30%22	https://templates.hibootstrap.com/jeel/default/assets/fonts/boxicons.svg?	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/boxiconsd41d.svg	(from https://templates.hibootstrap.com/jeel/default/assets/css/boxicons.min.css)
15:10:00	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:40:03%20GMT	https://templates.hibootstrap.com/jeel/default/assets/fonts/revicons.eot?5510888	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/revicons90c6.eot	(from https://templates.hibootstrap.com/jeel/default/assets/css/settings.css)
15:10:01	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:40:04%20GMT	https://templates.hibootstrap.com/jeel/default/assets/fonts/revicons.woff?5510888	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/revicons90c6.woff	(from https://templates.hibootstrap.com/jeel/default/assets/css/settings.css)
15:10:02	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:40:05%20GMT	https://templates.hibootstrap.com/jeel/default/assets/fonts/revicons.ttf?5510888	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/revicons90c6.ttf	(from https://templates.hibootstrap.com/jeel/default/assets/css/settings.css)
15:10:03	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:40:06%20GMT	https://templates.hibootstrap.com/jeel/default/assets/fonts/revicons.svg?5510888	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/fonts/revicons90c6.svg	(from https://templates.hibootstrap.com/jeel/default/assets/css/settings.css)
15:10:04	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:40:06%20GMT	https://templates.hibootstrap.com/jeel/default/assets/css/openhand.cur	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/openhand.cur	(from https://templates.hibootstrap.com/jeel/default/assets/css/settings.css)
15:10:04	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:40:07%20GMT	https://templates.hibootstrap.com/jeel/default/assets/css/closedhand.cur	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/closedhand.cur	(from https://templates.hibootstrap.com/jeel/default/assets/css/settings.css)
15:10:05	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:40:08%20GMT	https://templates.hibootstrap.com/jeel/default/assets/assets/gridtile.png	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/assets/gridtile.png	(from https://templates.hibootstrap.com/jeel/default/assets/css/settings.css)
